IP Address,Status,Response Time (ms),Hostname
192.168.0.1,UP,11.98,
192.168.0.2,DOWN,,
192.168.0.3,DOWN,,
192.168.0.4,DOWN,,
192.168.0.5,DOWN,,
192.168.0.6,DOWN,,
192.168.0.7,DOWN,,
192.168.0.8,DOWN,,
192.168.0.9,DOWN,,
192.168.0.10,UP,28.27,READYSHARE
192.168.0.11,DOWN,,
192.168.0.12,UP,7.99,DESKTOP-GU1GVC6.hsd1.co.comcast.net.
192.168.0.13,DOWN,,
192.168.0.14,DOWN,,
192.168.0.15,DOWN,,
192.168.0.16,DOWN,,
192.168.0.17,DOWN,,
192.168.0.18,DOWN,,
192.168.0.19,DOWN,,
192.168.0.20,UP,26.59,MAC-288894
192.168.0.21,DOWN,,
192.168.0.22,DOWN,,
192.168.0.23,DOWN,,
192.168.0.24,DOWN,,
192.168.0.25,DOWN,,
192.168.0.26,DOWN,,
192.168.0.27,DOWN,,
192.168.0.28,DOWN,,
192.168.0.29,DOWN,,
192.168.0.30,DOWN,,
192.168.0.31,DOWN,,
192.168.0.32,DOWN,,
192.168.0.33,DOWN,,
192.168.0.34,DOWN,,
192.168.0.35,DOWN,,
192.168.0.36,DOWN,,
192.168.0.37,DOWN,,
192.168.0.38,DOWN,,
192.168.0.39,DOWN,,
192.168.0.40,DOWN,,
192.168.0.41,DOWN,,
192.168.0.42,DOWN,,
192.168.0.43,UP,118.48,
192.168.0.44,DOWN,,
192.168.0.45,DOWN,,
192.168.0.46,DOWN,,
192.168.0.47,DOWN,,
192.168.0.48,DOWN,,
192.168.0.49,DOWN,,
192.168.0.50,DOWN,,
192.168.0.51,DOWN,,
192.168.0.52,DOWN,,
192.168.0.53,DOWN,,
192.168.0.54,DOWN,,
192.168.0.55,DOWN,,
192.168.0.56,DOWN,,
192.168.0.57,DOWN,,
192.168.0.58,DOWN,,
192.168.0.59,DOWN,,
192.168.0.60,DOWN,,
192.168.0.61,DOWN,,
192.168.0.62,DOWN,,
192.168.0.63,DOWN,,
192.168.0.64,DOWN,,
192.168.0.65,DOWN,,
192.168.0.66,DOWN,,
192.168.0.67,DOWN,,
192.168.0.68,DOWN,,
192.168.0.69,DOWN,,
192.168.0.70,DOWN,,
192.168.0.71,DOWN,,
192.168.0.72,DOWN,,
192.168.0.73,DOWN,,
192.168.0.74,DOWN,,
192.168.0.75,DOWN,,
192.168.0.76,DOWN,,
192.168.0.77,DOWN,,
192.168.0.78,DOWN,,
192.168.0.79,DOWN,,
192.168.0.80,DOWN,,
192.168.0.81,DOWN,,
192.168.0.82,DOWN,,
192.168.0.83,DOWN,,
192.168.0.84,DOWN,,
192.168.0.85,DOWN,,
192.168.0.86,DOWN,,
192.168.0.87,DOWN,,
192.168.0.88,DOWN,,
192.168.0.89,DOWN,,
192.168.0.90,DOWN,,
192.168.0.91,DOWN,,
192.168.0.92,DOWN,,
192.168.0.93,DOWN,,
192.168.0.94,DOWN,,
192.168.0.95,DOWN,,
192.168.0.96,DOWN,,
192.168.0.97,DOWN,,
192.168.0.98,DOWN,,
192.168.0.99,DOWN,,
192.168.0.100,DOWN,,
192.168.0.101,DOWN,,
192.168.0.102,DOWN,,
192.168.0.103,DOWN,,
192.168.0.104,DOWN,,
192.168.0.105,DOWN,,
192.168.0.106,DOWN,,
192.168.0.107,DOWN,,
192.168.0.108,DOWN,,
192.168.0.109,DOWN,,
192.168.0.110,DOWN,,
192.168.0.111,DOWN,,
192.168.0.112,DOWN,,
192.168.0.113,DOWN,,
192.168.0.114,DOWN,,
192.168.0.115,DOWN,,
192.168.0.116,DOWN,,
192.168.0.117,DOWN,,
192.168.0.118,DOWN,,
192.168.0.119,DOWN,,
192.168.0.120,DOWN,,
192.168.0.121,DOWN,,
192.168.0.122,DOWN,,
192.168.0.123,DOWN,,
192.168.0.124,DOWN,,
192.168.0.125,DOWN,,
192.168.0.126,DOWN,,
192.168.0.127,DOWN,,
192.168.0.128,DOWN,,
192.168.0.129,DOWN,,
192.168.0.130,DOWN,,
192.168.0.131,DOWN,,
192.168.0.132,DOWN,,
192.168.0.133,DOWN,,
192.168.0.134,DOWN,,
192.168.0.135,DOWN,,
192.168.0.136,DOWN,,
192.168.0.137,DOWN,,
192.168.0.138,DOWN,,
192.168.0.139,DOWN,,
192.168.0.140,DOWN,,
192.168.0.141,DOWN,,
192.168.0.142,DOWN,,
192.168.0.143,DOWN,,
192.168.0.144,DOWN,,
192.168.0.145,DOWN,,
192.168.0.146,DOWN,,
192.168.0.147,DOWN,,
192.168.0.148,DOWN,,
192.168.0.149,DOWN,,
192.168.0.150,DOWN,,
192.168.0.151,DOWN,,
192.168.0.152,DOWN,,
192.168.0.153,DOWN,,
192.168.0.154,DOWN,,
192.168.0.155,DOWN,,
192.168.0.156,DOWN,,
192.168.0.157,DOWN,,
192.168.0.158,DOWN,,
192.168.0.159,DOWN,,
192.168.0.160,DOWN,,
192.168.0.161,DOWN,,
192.168.0.162,DOWN,,
192.168.0.163,DOWN,,
192.168.0.164,DOWN,,
192.168.0.165,DOWN,,
192.168.0.166,DOWN,,
192.168.0.167,DOWN,,
192.168.0.168,DOWN,,
192.168.0.169,DOWN,,
192.168.0.170,DOWN,,
192.168.0.171,DOWN,,
192.168.0.172,DOWN,,
192.168.0.173,DOWN,,
192.168.0.174,DOWN,,
192.168.0.175,DOWN,,
192.168.0.176,DOWN,,
192.168.0.177,DOWN,,
192.168.0.178,DOWN,,
192.168.0.179,DOWN,,
192.168.0.180,DOWN,,
192.168.0.181,DOWN,,
192.168.0.182,DOWN,,
192.168.0.183,DOWN,,
192.168.0.184,DOWN,,
192.168.0.185,DOWN,,
192.168.0.186,DOWN,,
192.168.0.187,DOWN,,
192.168.0.188,DOWN,,
192.168.0.189,DOWN,,
192.168.0.190,DOWN,,
192.168.0.191,DOWN,,
192.168.0.192,DOWN,,
192.168.0.193,DOWN,,
192.168.0.194,DOWN,,
192.168.0.195,DOWN,,
192.168.0.196,DOWN,,
192.168.0.197,DOWN,,
192.168.0.198,DOWN,,
192.168.0.199,DOWN,,
192.168.0.200,DOWN,,
192.168.0.201,DOWN,,
192.168.0.202,DOWN,,
192.168.0.203,DOWN,,
192.168.0.204,DOWN,,
192.168.0.205,DOWN,,
192.168.0.206,DOWN,,
192.168.0.207,DOWN,,
192.168.0.208,DOWN,,
192.168.0.209,DOWN,,
192.168.0.210,DOWN,,
192.168.0.211,DOWN,,
192.168.0.212,DOWN,,
192.168.0.213,DOWN,,
192.168.0.214,DOWN,,
192.168.0.215,DOWN,,
192.168.0.216,DOWN,,
192.168.0.217,DOWN,,
192.168.0.218,DOWN,,
192.168.0.219,DOWN,,
192.168.0.220,DOWN,,
192.168.0.221,DOWN,,
192.168.0.222,DOWN,,
192.168.0.223,DOWN,,
192.168.0.224,DOWN,,
192.168.0.225,DOWN,,
192.168.0.226,DOWN,,
192.168.0.227,DOWN,,
192.168.0.228,DOWN,,
192.168.0.229,DOWN,,
192.168.0.230,DOWN,,
192.168.0.231,DOWN,,
192.168.0.232,DOWN,,
192.168.0.233,DOWN,,
192.168.0.234,DOWN,,
192.168.0.235,DOWN,,
192.168.0.236,DOWN,,
192.168.0.237,DOWN,,
192.168.0.238,DOWN,,
192.168.0.239,DOWN,,
192.168.0.240,DOWN,,
192.168.0.241,DOWN,,
192.168.0.242,DOWN,,
192.168.0.243,DOWN,,
192.168.0.244,DOWN,,
192.168.0.245,DOWN,,
192.168.0.246,DOWN,,
192.168.0.247,DOWN,,
192.168.0.248,DOWN,,
192.168.0.249,DOWN,,
192.168.0.250,DOWN,,
192.168.0.251,DOWN,,
192.168.0.252,DOWN,,
192.168.0.253,DOWN,,
192.168.0.254,DOWN,,
